Year,Month,Day,Hour,Minute,Second,Temperature,Humidity
2024,12,22,22,39,57,25.8,49
2024,12,22,22,40,22,25.8,49
2024,12,22,22,40,47,25.8,49
2024,12,22,22,41,13,25.9,49
2024,12,22,22,41,38,25.9,49
2024,12,22,22,42,3,26.0,48
2024,12,22,22,42,28,26.0,48
2024,12,22,22,42,53,26.0,48
2024,12,22,22,43,18,26.0,49
2024,12,22,22,43,44,26.1,49
2024,12,22,22,44,9,26.1,48
2024,12,22,22,44,34,26.1,48
2024,12,22,22,44,59,26.1,48
2024,12,22,22,45,24,26.2,48
2024,12,22,22,46,7,26.2,48
2024,12,22,22,46,33,26.2,48
2024,12,22,22,46,58,26.1,48
2024,12,22,22,47,23,26.0,48
2024,12,22,22,47,48,26.0,48
2024,12,22,22,48,13,26.0,48
2024,12,22,22,48,38,25.9,48
2024,12,22,22,49,40,25.9,48
2024,12,22,22,50,5,25.9,49
2024,12,22,22,50,30,25.9,50
2024,12,22,22,50,55,26.0,48
2024,12,22,22,51,20,26.0,50
2024,12,22,22,51,46,26.0,48
2024,12,22,22,52,11,26.0,49
2024,12,22,22,52,36,26.1,48
2024,12,22,22,53,1,26.1,48
2024,12,22,22,53,26,26.2,48
2024,12,22,22,53,51,26.2,48
2024,12,22,22,54,17,26.2,48
2024,12,22,22,54,42,26.1,48
2024,12,22,22,55,7,26.1,48
2024,12,22,22,55,32,26.1,48
2024,12,22,22,55,57,26.0,48
2024,12,22,22,56,22,26.0,48
2024,12,22,22,56,48,26.0,49
2024,12,22,22,57,13,26.0,48
2024,12,22,22,57,38,26.0,48
2024,12,22,22,58,3,25.9,48
2024,12,22,22,58,28,25.9,48
2024,12,22,22,58,53,25.8,48
2024,12,22,22,59,50,25.8,48
2024,12,22,23,0,15,25.7,48
2024,12,22,23,0,40,25.7,49
2024,12,22,23,1,5,25.7,48
2024,12,22,23,1,31,25.7,50
2024,12,22,23,1,56,25.8,51
2024,12,22,23,2,21,25.9,49
2024,12,22,23,2,46,25.9,50
2024,12,22,23,3,11,25.9,48
2024,12,22,23,3,36,25.9,48
2024,12,22,23,4,2,25.8,48
2024,12,22,23,4,27,25.8,49
2024,12,22,23,4,52,25.9,49
2024,12,22,23,5,17,25.9,49
2024,12,22,23,5,42,25.9,48
2024,12,22,23,6,7,25.8,48
2024,12,22,23,6,33,25.8,48
2024,12,22,23,6,58,25.8,48
2024,12,22,23,7,23,25.8,48
2024,12,22,23,7,48,25.7,48
2024,12,22,23,8,13,25.7,48
2024,12,22,23,8,38,25.7,48
2024,12,22,23,9,4,25.8,48
2024,12,22,23,9,29,25.7,48
2024,12,22,23,9,54,25.7,48
2024,12,22,23,10,59,25.7,49
2024,12,22,23,11,24,25.7,49
2024,12,22,23,11,49,25.8,48
2024,12,22,23,12,15,25.8,48
2024,12,22,23,12,40,25.8,48
2024,12,22,23,13,5,25.8,49
2024,12,22,23,13,30,25.8,48
2024,12,22,23,13,55,25.8,48
2024,12,22,23,14,20,25.7,48
2024,12,22,23,14,46,25.8,48
2024,12,22,23,15,11,25.8,48
2024,12,22,23,15,36,25.8,48
2024,12,22,23,16,1,25.8,48
2024,12,22,23,16,57,25.7,48
2024,12,22,23,17,23,25.8,49
2024,12,22,23,17,48,25.8,48
2024,12,22,23,18,13,25.8,48
2024,12,22,23,18,38,25.8,49
2024,12,22,23,19,3,25.8,48
2024,12,22,23,19,28,25.7,48
2024,12,22,23,19,54,25.7,48
2024,12,22,23,20,19,25.7,48
2024,12,22,23,20,44,25.7,48
2024,12,22,23,21,9,25.7,48
2024,12,22,23,21,34,25.8,48
2024,12,22,23,21,59,25.9,50
2024,12,22,23,22,25,26.1,52
2024,12,22,23,22,50,26.2,53
2024,12,22,23,23,15,26.3,51
2024,12,22,23,23,40,26.3,48
2024,12,22,23,24,5,26.2,48
2024,12,22,23,24,30,26.1,48
2024,12,22,23,24,56,26.1,48
2024,12,22,23,25,21,26.0,48
2024,12,22,23,25,46,26.0,51
2024,12,22,23,26,11,26.0,48
2024,12,22,23,26,36,26.0,48
2024,12,22,23,27,1,25.9,48
2024,12,22,23,27,27,25.9,48
2024,12,22,23,27,52,25.9,48
2024,12,22,23,28,17,25.9,48
2024,12,22,23,28,42,25.8,48
2024,12,22,23,29,7,25.8,48
2024,12,22,23,29,32,25.8,48
2024,12,22,23,29,58,25.7,48
2024,12,22,23,30,23,25.7,48
2024,12,22,23,30,48,25.7,48
2024,12,22,23,31,13,25.7,48
2024,12,22,23,31,38,25.6,48
2024,12,22,23,32,3,25.6,48
2024,12,22,23,32,29,25.6,48
2024,12,22,23,32,54,25.6,49
2024,12,22,23,33,19,25.6,48
2024,12,22,23,33,44,25.5,49
2024,12,22,23,34,9,25.5,49
2024,12,22,23,34,34,25.5,48
2024,12,22,23,35,0,25.5,48
2024,12,22,23,35,25,25.5,48
2024,12,22,23,35,50,25.5,48
2024,12,22,23,36,15,25.5,49
2024,12,22,23,36,40,25.6,49
2024,12,22,23,37,5,25.6,49
2024,12,22,23,37,31,25.7,48
2024,12,22,23,37,56,25.7,48
2024,12,22,23,38,21,25.7,48
2024,12,22,23,38,46,25.7,48
2024,12,22,23,39,11,25.7,48
2024,12,22,23,39,36,25.7,48
2024,12,22,23,40,2,25.7,49
2024,12,22,23,40,27,25.7,48
2024,12,22,23,40,52,25.6,49
2024,12,22,23,41,17,25.6,50
2024,12,22,23,41,42,25.6,48
2024,12,22,23,42,7,25.6,48
2024,12,22,23,43,13,25.7,48
2024,12,22,23,43,38,25.7,49
2024,12,22,23,44,3,25.8,49
2024,12,22,23,44,28,25.9,49
2024,12,22,23,44,54,26.0,49
2024,12,22,23,45,19,26.1,48
2024,12,22,23,45,44,26.2,48
2024,12,22,23,46,9,26.2,48
2024,12,22,23,46,34,26.2,48
2024,12,22,23,46,59,26.3,47
2024,12,22,23,47,47,26.2,48
2024,12,22,23,48,12,26.1,48
2024,12,22,23,48,37,26.1,48
2024,12,22,23,49,2,26.1,48
2024,12,22,23,49,27,26.1,48
2024,12,22,23,49,53,26.0,48
2024,12,22,23,50,18,26.0,48
